#,Target,Mode,IP,"URL Rating","Domain Rating","Ahrefs Rank",Domains,"Ref domains Dofollow","Ref domains Governmental","Ref domains Educational","Ref IPs","Ref SubNets","Linked Domains","Total Backlinks","Backlinks Text","Backlinks NoFollow","Backlinks Redirect","Backlinks Image","Backlinks Frame","Backlinks Form","Backlinks Governmental","Backlinks Educational","Total Keywords","Total Traffic"
1,mecmachine.com,subdomains,154.201.211.124,,3.6,44239441,761,758,0,0,258,36,3696,847803,847803,6,0,1,0,0,0,0,0,0
2,RoundMe.com,subdomains,188.114.96.2,,80,12396,33366,19056,135,678,26980,14640,2463,14762491,12951164,987962,1875,7364913,1809436,0,45719,1593444,416,4636
3,alicia-roy.com,subdomains,,,1.9,58379103,99,55,0,0,83,72,0,806,806,121,0,88,0,0,0,0,0,0
4,smmsav.com,subdomains,149.100.144.133,,62,227008,6982,2061,9,62,6839,4622,6,342173,334749,9484,6706,1111,337,96,26,173,22,0
5,FanFest.com,subdomains,104.21.38.137,,50,736968,6899,5908,2,12,3592,2362,2548,32980,32850,7301,91,10994,19,0,2,54,87402,60826
6,PetPetter.com,subdomains,15.197.148.33,,18,11883954,27,26,0,0,27,8,25,45639,45639,1,0,0,0,0,0,0,0,0
7,pcuk.net,subdomains,,,38,1921621,7256,2665,8,125,5922,4534,15,49754,45422,1014,4167,978,157,3,12,510,2,0
8,sazcar.com,subdomains,3.33.130.190,,0,,7,1,0,0,4,4,0,9,9,8,0,0,0,0,0,0,0,0
9,SurePrice.com,subdomains,203.170.190.241,,5,34868176,7,6,0,0,9,9,4,138701,138701,1,0,0,0,0,0,0,1458,1082
10,followersav.com,subdomains,149.100.144.233,,58,332200,1853,573,4,20,2174,1274,4,249679,249671,4332,2,118,0,0,25,51,221,1
11,hazar.org,subdomains,92.205.150.191,,19,10971433,952,634,2,17,824,712,69,111686,111447,20082,217,211,17,5,3,67,0,0
12,hotelranpu.com,subdomains,172.105.196.169,,8,25527734,83,77,0,0,97,85,23,464,459,29,5,57,0,0,0,0,0,0
13,SocialMedia4Hire.com,subdomains,92.205.150.191,,16,13889632,907,469,0,8,682,569,84,112050,111831,21386,199,35,17,1,0,9,0,0
14,socialphy.com,subdomains,92.205.150.191,,28,5908316,1151,764,0,4,791,670,28,159680,159657,29222,3,15899,12,0,0,27,0,0
15,wizseoservices.com,subdomains,92.205.150.191,,12,18916881,474,186,1,1,459,409,37,118298,118269,21913,27,44,0,1,2,1,0,0
16,FaceBoo.org,subdomains,92.205.150.191,,8,26847336,261,25,0,0,352,220,23,120868,120868,20730,0,4,0,0,0,0,6,0
17,FeedbackProducts.com,subdomains,3.33.130.190,,4.8,37399799,4,1,0,0,4,4,1,36,36,5,0,0,0,0,0,0,0,0
18,OrganicSkincare.com,subdomains,172.66.40.155,,18,12292807,1618,1296,1,5,1309,990,223,34516,34514,2524,1,3250,0,0,2,17,7213,4559
19,CellAct.co.uk,subdomains,,,6,32114666,209,83,1,2,272,207,5,41817,41817,1402,0,27,0,0,1,35,0,0
20,BetterPlace.com,subdomains,107.180.4.124,,55,456162,2595,2111,2,20,1957,1528,0,44502,44477,2530,3,190,20,0,8,90,0,0
21,MobileTrade.org,subdomains,,,26,6862336,1832,1491,2,51,2082,1561,4119,125438,125438,68172,0,2,0,0,349,5924,0,0
22,WebCrowns.com,subdomains,3.33.130.190,,11,20855835,801,511,4,13,707,603,68,15664,15363,253,277,29,18,0,9,17,0,0
23,wapdam.com,subdomains,15.197.148.33,,34,2949303,676,506,0,0,481,283,1,14424,14418,801,5,83,0,0,0,0,155,63134
24,SharEnow.com,subdomains,13.248.169.48,,11,20803164,322,251,0,0,221,190,1,15117,15107,283,0,251,0,0,0,0,2,0
25,wallmantra.com,subdomains,35.213.155.102,,49,821205,4124,2707,10,38,3309,2385,17,89031,87349,17045,1624,21294,1,25,99,3225,22474,34666
26,m2renewables.com,subdomains,172.67.182.248,,21,9884425,242,211,0,0,211,190,1,39513,39471,57,28,349,0,0,0,0,0,0
27,SweetTemptations.com,subdomains,3.33.130.190,,3.3,46056609,75,43,0,0,87,76,1,212,210,53,2,10,0,0,0,0,9,0
28,pvped.com,subdomains,,,0.2,102828695,41,31,0,0,45,39,1,2686,2686,146,0,0,0,0,0,0,0,0
